# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	Temperature(K)	e_fraction	e_fraction_err	e_sigma	e_sigma_err	e_amplitude	e_amplitude_err	e_height	e_height_err	e_FWHM	e_FWHM_err	PH_fraction	PH_fraction_err	PH_sigma	PH_sigma_err	PH_center	PH_center_err	PH_amplitude	PH_amplitude_err	PH_FWHM	PH_FWHM_err	TM_skew	TM_skew_err	TM_FWHM	TM_FWHM_err	TM_center	TM_center_err	TM_area	TM_area_err	CO_skew	CO_skew_err	CO_FWHM	CO_FWHM_err	CO_center	CO_center_err	CO_area	CO_area_err	LM_FWHM	LM_FWHM_err	LM_center	LM_center_err	LM_area	LM_area_err
    -0.500000     -0.500000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     14.232704      5.741456      0.395161      0.159407     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.000000      6.117632      7.240139     28.097159      0.000000      0.063331      0.051040     28.077800           nan     77.899300           nan    930.099875           nan      0.379187      0.093187     98.576600           nan    165.677600           nan    129.982712           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000    100.000000      0.526192      0.000000     14.048579      0.000000      6.654693      2.416306      0.184763      0.067087     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.000000      7.236879      2.992697     28.097159      0.000000      0.059133      0.040008     28.080400           nan     82.257200           nan    497.650865           nan      0.494935      0.070814     98.905800           nan    159.386200           nan    112.840439           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000    200.000000      0.526192      0.000000     14.048579      0.000000     18.011344      2.365258      0.500072      0.065670     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.862304      0.000000      0.000000     28.097159      0.000000      0.042653      0.034120     38.010000           nan     76.900000           nan    489.927517           nan      0.922192      0.128622    150.930000           nan    148.180000           nan    157.713844           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000    250.000000      0.526192      0.000000     14.048579      0.000000     25.832981      3.047027      0.717234      0.084598     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.862304      0.000000      0.000000     28.097159      0.000000      0.123333      0.054733     50.790000           nan     72.150000           nan    496.644664           nan      0.838032      0.166168    181.240000           nan    164.000000           nan    126.117887           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000    300.000000      0.526192      0.000000     14.048579      0.000000     22.981878      5.798573      0.638075      0.160993     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.862304      0.000000      0.000000     28.097159      0.000000           nan           nan    108.930000           nan     56.690000           nan    590.129787           nan      0.403661      0.089800    181.730000           nan    191.180000           nan     76.466382           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000    325.000000      0.526192      0.000000     14.048579      0.000000      4.674759      6.861513      0.129791      0.190505     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan    166.980000           nan     45.500000           nan    708.137344           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -1.000000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      6.546304      5.875489      0.181753      0.163129     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.000000      0.010000      5.349574     28.097159      0.000000      0.374381      0.111010     49.560000           nan    150.360000           nan    505.517952           nan      2.696340      5.218726     64.740000           nan    242.650000           nan     59.630332           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -1.000000     25.650000    100.000000      0.526192      0.000000     14.048579      0.000000      5.997274      3.206896      0.166510      0.089037     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.000000      4.159918      2.646720     28.097159      0.000000      0.318456      0.108731     56.310000           nan    165.590000           nan    307.481331           nan      1.716674      4.206641     69.670000           nan    258.770000           nan     36.264065           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -1.000000     25.650000    200.000000      0.526192      0.000000     14.048579      0.000000      0.001000      0.053322      0.000028      0.001480     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.931057      8.040950      1.796900     28.097159      0.000000      0.402747      0.129361     67.920000           nan    155.460000           nan    294.286469           nan      0.193342      0.115249     97.780000           nan    242.490000           nan     36.552723           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -1.000000     25.650000    250.000000      0.526192      0.000000     14.048579      0.000000      1.839944      3.743028      0.051085      0.103922     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.931057      4.967200      1.731651     28.097159      0.000000      0.000000      0.195644     66.580000           nan    156.830000           nan    219.216062           nan      0.319237      0.149881    121.480000           nan    228.820000           nan    106.256173           nan           nan           nan           nan           nan           nan           nan
